,Date,Location,Efficiency of the admissions process,Helpfulness of admitting staff,Usefulness of leaflets provided,"Explanations about procedures, tests and treatment options",Explanation about benefits/risks of surgical interventions,Opportunity to ask questions about your condition or treatment,Nursing care and attention,Response time to nursing call system,Pain relief, Respect for your privacy,Comfort of room & surroundings,Cleanliness of room & surroundings,Attractiveness/decor,Timeliness of catering service,Quality of food served,Quantity of food served,Time given to planning your return home,Explanations about how to manage your condition and recovery at home,Clarity of instructions on take home medications, Efficiency of discharge process,Efficiency of billings process,Clarity of billing information,Staff Helpfulness,Quality of service you received
28,April 2019,Awolowo,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,,4.0,4.0
29,April 2019,Awolowo,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0
30,April 2019,Awolowo,5.0,5.0,,5.0,,4.0,5.0,4.0,5.0,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,4.0,5.0
31,April 2019,Awolowo,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,
32,April 2019,Awolowo,5.0,,,,5.0,4.0,4.0,4.0,4.0,3.0,,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0
33,April 2019,Awolowo,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0
34,April 2019,Awolowo,5.0,5.0,,4.0,,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
35,April 2019,Awolowo,5.0,,,5.0,,5.0,5.0,4.0,4.0,,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,,5.0,4.0,5.0
36,April 2019,Awolowo,4.0,5.0,5.0,4.0,,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,,5.0,4.0
37,April 2019,Awolowo,4.0,4.0,,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,4.0,4.0
38,April 2019,Awolowo,4.0,4.0,,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
39,April 2019,Awolowo,,5.0,,5.0,5.0,4.0,5.0,4.0,,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0
40,April 2019,Awolowo,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0
41,April 2019,Awolowo,5.0,5.0,,,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
42,April 2019,Awolowo,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,,3.0,4.0,5.0,5.0,4.0,3.0,5.0,,5.0,5.0,3.0,5.0,,5.0,4.0
43,April 2019,Awolowo,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0
44,April 2019,Awolowo,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0
45,April 2019,Awolowo,4.0,5.0,,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
46,April 2019,Awolowo,5.0,4.0,5.0,4.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,,5.0,4.0,4.0,4.0
47,April 2019,Awolowo,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,,5.0,4.0,5.0
48,April 2019,Awolowo,4.0,4.0,,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,,4.0,5.0,3.0,3.0,5.0,4.0,
49,April 2019,Awolowo,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,,5.0,5.0,3.0,4.0,,4.0,4.0
50,April 2019,Awolowo,5.0,,,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0
51,April 2019,Awolowo,4.0,5.0,,4.0,,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0
52,April 2019,Awolowo,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,,5.0,5.0,5.0
53,April 2019,Awolowo,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,5.0,5.0,4.0,5.0
54,April 2019,Awolowo,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0
55,April 2019,Awolowo,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
56,April 2019,Awolowo,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,,5.0,5.0,4.0,,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0
57,April 2019,Awolowo,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,,4.0,,5.0,5.0
58,April 2019,Awolowo,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,,5.0,4.0
59,April 2019,Awolowo,5.0,5.0,5.0,5.0,,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
60,April 2019,Awolowo,5.0,5.0,,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,,4.0
61,April 2019,Awolowo,4.0,,,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,,4.0,5.0,4.0,4.0
62,April 2019,Awolowo,4.0,5.0,,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,
63,April 2019,Awolowo,5.0,4.0,5.0,4.0,,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,,4.0,5.0
64,April 2019,Awolowo,4.0,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,,5.0,4.0,5.0
65,April 2019,Awolowo,5.0,5.0,,5.0,5.0,5.0,4.0,5.0,,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0
